timestamp,cycles,unroll,load_interleave,schedule,hash_interleave,block_group,gather_strategy,speedup
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 0, 0)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 0, 1)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 0, 2)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 0, 3)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 1, 0)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 1, 1)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 1, 2)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 1, 3)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 2, 0)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 2, 1)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 2, 2)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 2, 3)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 3, 0)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 3, 1)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 3, 2)",1,round_robin,15.36
2026-01-22T23:50:02,9615,4,1,stagewise,"(1, 3, 3)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 0, 0)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 0, 1)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 0, 2)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 0, 3)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 1, 0)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 1, 1)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 1, 2)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 1, 3)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 2, 0)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 2, 1)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 2, 2)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 2, 3)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 3, 0)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 3, 1)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 3, 2)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(2, 3, 3)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 0, 0)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 0, 1)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 0, 2)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 0, 3)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 1, 0)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 1, 1)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 1, 2)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 1, 3)",1,round_robin,15.36
2026-01-22T23:50:03,9615,4,1,stagewise,"(3, 2, 0)",1,round_robin,15.36
2026-01-22T23:50:04,9615,4,1,stagewise,"(3, 2, 1)",1,round_robin,15.36
2026-01-22T23:50:04,9615,4,1,stagewise,"(3, 2, 2)",1,round_robin,15.36
2026-01-22T23:50:04,9615,4,1,stagewise,"(3, 2, 3)",1,round_robin,15.36
2026-01-22T23:50:04,9615,4,1,stagewise,"(3, 3, 0)",1,round_robin,15.36
2026-01-22T23:50:04,9615,4,1,stagewise,"(3, 3, 1)",1,round_robin,15.36
2026-01-22T23:50:04,9615,4,1,stagewise,"(3, 3, 2)",1,round_robin,15.36
2026-01-22T23:50:04,9615,4,1,stagewise,"(3, 3, 3)",1,round_robin,15.36
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 0, 0)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 0, 1)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 0, 2)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 0, 3)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 1, 0)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 1, 1)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 1, 2)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 1, 3)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 2, 0)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 2, 1)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 2, 2)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 2, 3)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 3, 0)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 3, 1)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 3, 2)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(0, 3, 3)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(1, 0, 0)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(1, 0, 1)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(1, 0, 2)",2,by_buffer,27.57
2026-01-22T23:50:04,5359,4,1,stagewise,"(1, 0, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 1, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 1, 1)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 1, 2)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 1, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 2, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 2, 1)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 2, 2)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 2, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 3, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 3, 1)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 3, 2)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(1, 3, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 0, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 0, 1)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 0, 2)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 0, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 1, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 1, 1)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 1, 2)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 1, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 2, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 2, 1)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 2, 2)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 2, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 3, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 3, 1)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 3, 2)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(2, 3, 3)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(3, 0, 0)",2,by_buffer,27.57
2026-01-22T23:50:05,5359,4,1,stagewise,"(3, 0, 1)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 0, 2)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 0, 3)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 1, 0)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 1, 1)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 1, 2)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 1, 3)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 2, 0)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 2, 1)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 2, 2)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 2, 3)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 3, 0)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 3, 1)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 3, 2)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(3, 3, 3)",2,by_buffer,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 0, 0)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 0, 1)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 0, 2)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 0, 3)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 1, 0)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 1, 1)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 1, 2)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 1, 3)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 2, 0)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 2, 1)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 2, 2)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 2, 3)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 3, 0)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 3, 1)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 3, 2)",2,round_robin,27.57
2026-01-22T23:50:06,5359,4,1,stagewise,"(0, 3, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 0, 0)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 0, 1)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 0, 2)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 0, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 1, 0)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 1, 1)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 1, 2)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 1, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 2, 0)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 2, 1)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 2, 2)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 2, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 3, 0)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 3, 1)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 3, 2)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(1, 3, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 0, 0)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 0, 1)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 0, 2)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 0, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 1, 0)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 1, 1)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 1, 2)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 1, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 2, 0)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 2, 1)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 2, 2)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 2, 3)",2,round_robin,27.57
2026-01-22T23:50:07,5359,4,1,stagewise,"(2, 3, 0)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(2, 3, 1)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(2, 3, 2)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(2, 3, 3)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 0, 0)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 0, 1)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 0, 2)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 0, 3)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 1, 0)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 1, 1)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 1, 2)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 1, 3)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 2, 0)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 2, 1)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 2, 2)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 2, 3)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 3, 0)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 3, 1)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 3, 2)",2,round_robin,27.57
2026-01-22T23:50:08,5359,4,1,stagewise,"(3, 3, 3)",2,round_robin,27.57
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 0, 0)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 0, 1)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 0, 2)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 0, 3)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 1, 0)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 1, 1)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 1, 2)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 1, 3)",3,by_buffer,27.49
2026-01-22T23:50:08,5375,4,1,stagewise,"(0, 2, 0)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(0, 2, 1)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(0, 2, 2)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(0, 2, 3)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(0, 3, 0)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(0, 3, 1)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(0, 3, 2)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(0, 3, 3)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 0, 0)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 0, 1)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 0, 2)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 0, 3)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 1, 0)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 1, 1)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 1, 2)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 1, 3)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 2, 0)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 2, 1)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 2, 2)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 2, 3)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 3, 0)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 3, 1)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 3, 2)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(1, 3, 3)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(2, 0, 0)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(2, 0, 1)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(2, 0, 2)",3,by_buffer,27.49
2026-01-22T23:50:09,5375,4,1,stagewise,"(2, 0, 3)",3,by_buffer,27.49
