timestamp,cycles,unroll,load_interleave,schedule,hash_interleave,block_group,speedup
2026-01-22T23:46:26,5439,6,2,stagewise,"(0, 0, 0)",2,27.16
2026-01-22T23:46:26,5439,6,2,stagewise,"(0, 0, 1)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 0, 2)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 0, 3)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 1, 0)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 1, 1)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 1, 2)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 1, 3)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 2, 0)",2,27.16
2026-01-22T23:46:27,5439,6,2,stagewise,"(0, 2, 1)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(0, 2, 2)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(0, 2, 3)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(0, 3, 0)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(0, 3, 1)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(0, 3, 2)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(0, 3, 3)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(1, 0, 0)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(1, 0, 1)",2,27.16
2026-01-22T23:46:28,5439,6,2,stagewise,"(1, 0, 2)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 0, 3)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 1, 0)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 1, 1)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 1, 2)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 1, 3)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 2, 0)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 2, 1)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 2, 2)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 2, 3)",2,27.16
2026-01-22T23:46:29,5439,6,2,stagewise,"(1, 3, 0)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(1, 3, 1)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(1, 3, 2)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(1, 3, 3)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(2, 0, 0)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(2, 0, 1)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(2, 0, 2)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(2, 0, 3)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(2, 1, 0)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(2, 1, 1)",2,27.16
2026-01-22T23:46:30,5439,6,2,stagewise,"(2, 1, 2)",2,27.16
2026-01-22T23:46:31,5439,6,2,stagewise,"(2, 1, 3)",2,27.16
2026-01-22T23:46:31,5439,6,2,stagewise,"(2, 2, 0)",2,27.16
2026-01-22T23:46:31,5439,6,2,stagewise,"(2, 2, 1)",2,27.16
2026-01-22T23:46:31,5439,6,2,stagewise,"(2, 2, 2)",2,27.16
2026-01-22T23:46:31,5439,6,2,stagewise,"(2, 2, 3)",2,27.16
2026-01-22T23:46:31,5439,6,2,stagewise,"(2, 3, 0)",2,27.16
